"county" "precinct" "total" "white" "black" "natam" "dem" "rep" "non" "whdem" "whrep" "whnon" "bldem" "blrep" "blnon" "natamdem" "natamrep" "natamnon"
"1" "Bladen" "ABBOTTS" 490 355 134 1 399 61 30 272 60 23 126 1 7 1 0 0
"2" "Bladen" "BETHEL" 1729 1497 224 8 1238 343 148 1023 337 137 208 5 11 7 1 0
"3" "Bladen" "BROWN MARSH" 1363 817 541 5 1132 150 81 635 125 57 495 24 22 2 1 2
"4" "Bladen" "CARVERS CREEK" 1172 202 889 81 1032 60 80 147 30 25 825 22 42 60 8 13
"5" "Bladen" "CENTRAL" 470 298 170 2 379 40 51 223 34 41 154 6 10 2 0 0
"6" "Bladen" "COLLY" 974 784 183 7 674 205 95 499 199 86 170 4 9 5 2 0
"7" "Bladen" "CYPRESS CREEK" 450 388 61 1 305 93 52 251 91 46 53 2 6 1 0 0
"8" "Bladen" "FRENCHES CREEK" 537 282 255 0 404 92 41 163 87 32 241 5 9 0 0 0
"9" "Bladen" "HOLLOW" 986 576 404 6 777 120 89 395 104 77 378 14 12 4 2 0
"10" "Bladen" "LAKE CREEK" 440 341 97 2 288 120 32 193 118 30 93 2 2 2 0 0
"11" "Bladen" "TURNBULL" 398 246 150 2 322 49 27 177 47 22 143 2 5 2 0 0
"12" "Bladen" "WHITES CREEK" 743 292 442 9 632 62 49 223 44 25 403 17 22 6 1 2
"13" "Bladen" "WHITE OAK" 830 592 235 3 569 150 111 355 141 96 211 9 15 3 0 0
"14" "Bladen" "BLADENBORO 1" 1920 1454 459 7 1472 298 150 1051 280 123 417 17 25 4 1 2
"15" "Bladen" "BLADENBORO 2" 2218 1758 455 5 1674 397 147 1252 380 126 417 17 21 5 0 0
"16" "Bladen" "ELIZABETHTOWN 1" 2174 1158 1012 4 1755 259 160 809 236 113 943 23 46 3 0 1
"17" "Bladen" "ELIZABETHTOWN 2" 1396 992 401 3 1053 220 123 694 200 98 358 20 23 1 0 2
